CustomerID,Title,FirstName,MiddleName,LastName,CompanyName,SalesPerson,EmailAddress,Phone,ModifiedDate,EmailDomain
1,Mr.,Orlando,N.,Gee,A Bike Store,adventure-works\pamela0,orlando0@adventure-works.com,2455550173,2005-08-01 00:00:00.000,adventure-works.com
2,Mr.,Keith,Unknown,Harris,Progressive Sports,adventure-works\david8,keith0@adventure-works.com,1705550127,2006-08-01 00:00:00.000,adventure-works.com
3,Ms.,Donna,F.,Carreras,Advanced Bike Components,adventure-works\jillian0,donna0@adventure-works.com,2795550130,2005-09-01 00:00:00.000,adventure-works.com
4,Ms.,Janet,M.,Gates,Modular Cycle Systems,adventure-works\jillian0,janet1@adventure-works.com,7105550173,2006-07-01 00:00:00.000,adventure-works.com
5,Mr.,Lucy,Unknown,Harrington,Metropolitan Sports Supply,adventure-works\shu0,lucy0@adventure-works.com,8285550186,2006-09-01 00:00:00.000,adventure-works.com
6,Ms.,Rosmarie,J.,Carroll,Aerobic Exercise Company,adventure-works\linda3,rosmarie0@adventure-works.com,2445550112,2007-09-01 00:00:00.000,adventure-works.com
7,Mr.,Dominic,P.,Gash,Associated Bikes,adventure-works\shu0,dominic0@adventure-works.com,1925550173,2006-07-01 00:00:00.000,adventure-works.com
10,Ms.,Kathleen,M.,Garza,Rural Cycle Emporium,adventure-works\josé1,kathleen0@adventure-works.com,1505550127,2006-09-01 00:00:00.000,adventure-works.com
11,Ms.,Katherine,Unknown,Harding,Sharp Bikes,adventure-works\josé1,katherine0@adventure-works.com,9265550159,2005-08-01 00:00:00.000,adventure-works.com
12,Mr.,Johnny,A.,Caprio,Bikes and Motorbikes,adventure-works\garrett1,johnny0@adventure-works.com,1125550191,2006-08-01 00:00:00.000,adventure-works.com
16,Mr.,Christopher,R.,Beck,Bulk Discount Store,adventure-works\jae0,christopher1@adventure-works.com,1115005550132,2006-09-01 00:00:00.000,adventure-works.com
18,Mr.,David,J.,Liu,Catalog Store,adventure-works\michael9,david20@adventure-works.com,4405550132,2005-08-01 00:00:00.000,adventure-works.com
19,Mr.,John,A.,Beaver,Center Cycle Shop,adventure-works\pamela0,john8@adventure-works.com,5215550195,2007-04-01 00:00:00.000,adventure-works.com
20,Ms.,Jean,P.,Handley,Central Discount Store,adventure-works\david8,jean1@adventure-works.com,5825550113,2005-09-01 00:00:00.000,adventure-works.com
21,Unknown,Jinghao,Unknown,Liu,Chic Department Stores,adventure-works\jillian0,jinghao1@adventure-works.com,9285550116,2006-09-01 00:00:00.000,adventure-works.com
22,Ms.,Linda,E.,Burnett,Travel Systems,adventure-works\jillian0,linda4@adventure-works.com,1215550121,2005-08-01 00:00:00.000,adventure-works.com
23,Mr.,Kerim,Unknown,Hanif,Bike World,adventure-works\shu0,kerim0@adventure-works.com,2165550122,2006-09-01 00:00:00.000,adventure-works.com
24,Mr.,Kevin,Unknown,Liu,Eastside Department Store,adventure-works\linda3,kevin5@adventure-works.com,9265550164,2006-09-01 00:00:00.000,adventure-works.com
25,Mr.,Donald,L.,Blanton,Coalition Bike Company,adventure-works\shu0,donald0@adventure-works.com,3575550161,2006-09-01 00:00:00.000,adventure-works.com
28,Ms.,Jackie,E.,Blackwell,Commuter Bicycle Store,adventure-works\josé1,jackie0@adventure-works.com,9725550163,2007-08-01 00:00:00.000,adventure-works.com
29,Mr.,Bryan,Unknown,Hamilton,Cross-Country Riding Supplies,adventure-works\josé1,bryan2@adventure-works.com,3445550144,2005-08-01 00:00:00.000,adventure-works.com
30,Mr.,Todd,R.,Logan,Cycle Merchants,adventure-works\garrett1,todd0@adventure-works.com,7835550110,2006-09-01 00:00:00.000,adventure-works.com
34,Ms.,Barbara,J.,German,Cycles Wholesaler & Mfg.,adventure-works\jae0,barbara4@adventure-works.com,1115005550181,2007-07-01 00:00:00.000,adventure-works.com
